system_id	display_name	rom_dir	directory_aliases	extensions	default_core	candidate_cores	status	source	notes
pcfx	PC-FX	PCFX	pcfx	cue,ccd,toc,chd,zip,bin	mednafen_pcfx	mednafen_pcfx	add_system	proposal	Onion folder PCFX; BIOS required
quake	Quake	QUAKE	quake	pak	tyrquake	tyrquake	add_system	proposal	TyrQuake; data layout policy pending
rickdangerous	Rick Dangerous	XRICK	xrick	zip	xrick	xrick	add_system	proposal	XRick data policy pending
sg1000	SG-1000	SEGASGONE	sg-1000	sg,mv,bin,rom,sms,gg	gearsystem	bluemsx,gearsystem,genesis_plus_gx,picodrive	add_system	proposal	Onion folder SEGASGONE
sharpx1	Sharp X1	XONE	x1	dx1,zip,2d,2hd,tfd,d88,88d,hdm,xdf,dup,tap,cmd	x1	x1	add_system	proposal	Onion folder XONE; BIOS required
thomson	Thomson MO/TO	THOMSON	moto	fd,sap,k7,m7,m5,rom	theodore	theodore	add_system	proposal	proposed plumOS folder
ti83	TI-83	TI83	ti83	8xp,8xk,8xg	numero	numero	add_system	proposal	calculator core
uzebox	Uzebox	UZEBOX	uzebox	uze	uzem	uzem	add_system	proposal	homebrew console
vic20	Commodore VIC-20	VIC20	vic20	d64,d6z,d71,d7z,d80,d81,d82,d8z,g64,g6z,g41,g4z,x64,x6z,nib,nbz,d2m,d4m,t64,tap,tcrt,prg,p00,crt,bin,cmd,m3u,vfl,vsf,zip,7z,gz,20,40,60,a0,b0,rom	vice_xvic	vice_xvic	add_system	proposal	Onion folder VIC20
vmu	Dreamcast VMU	VMU	vmu	vms,dci,bin	vemulator	vemulator	add_system	proposal	VeMUlator; FE UX policy pending
wolf3d	Wolfenstein 3D	WOLF3D	wolf3d	wl6,n3d,sod,sdm,wl1,pk3,exe	ecwolf	ecwolf	add_system	proposal	ECWolf data layout policy pending
zx81	ZX-81	ZXEIGHTYONE	zx81	p,tzx,t81,zip	81	81	add_system	proposal	Onion folder ZXEIGHTYONE
zxspectrum	ZX Spectrum	ZXS	zxspectrum	tzx,tap,z80,rzx,scl,trd,dsk,dck,sna,szx,zip,gz,udi,mgt,img	fuse	fuse	add_system	proposal	Onion folder ZXS
