system_id	display_name	rom_dirs	extensions	runtime	launch_profile	core_id	built_core	deployed_core	fe_selectable	fe_executable	target_for_verification	default_profile	verification_status	notes
atarist	Atari ST	ATARIST;atarist	st;msa;zip;stx;dim;ipf;vhd;gem;ide;m3u	PICO	picoarch:hatari	hatari	yes	yes	yes	yes	yes	no	fail_input	FE auto companion
bk	Elektronika BK	BK;bk	bin	RA	retroarch:bk	bk	yes	yes	yes	yes	yes	yes	untested	systems.json
bk	Elektronika BK	BK;bk	bin	PICO	picoarch:bk	bk	yes	yes	yes	yes	yes	no	untested	FE auto companion
c64	Commodore 64	COMMODORE;c64	d64;d71;d80;d81;d82;g64;g41;x64;t64;tap;prg;p00;crt;bin;zip;gz;m3u	RA	retroarch:frodo	frodo	yes	yes	yes	yes	yes	no	fail_video	systems.json
c64	Commodore 64	COMMODORE;c64	d64;d71;d80;d81;d82;g64;g41;x64;t64;tap;prg;p00;crt;bin;zip;gz;m3u	RA	retroarch:vice_x64	vice_x64	yes	yes	yes	yes	yes	yes	fail_video	systems.json
c64	Commodore 64	COMMODORE;c64	d64;d71;d80;d81;d82;g64;g41;x64;t64;tap;prg;p00;crt;bin;zip;gz;m3u	PICO	picoarch:frodo	frodo	yes	yes	yes	yes	yes	no	fail_video	FE auto companion
c64	Commodore 64	COMMODORE;c64	d64;d71;d80;d81;d82;g64;g41;x64;t64;tap;prg;p00;crt;bin;zip;gz;m3u	PICO	picoarch:vice_x64	vice_x64	yes	yes	yes	yes	yes	no	fail_video	FE auto companion
cannonball	Cannonball	CANNONBALL;cannonball	game;88	RA	retroarch:cannonball	cannonball	yes	yes	yes	yes	yes	yes	untested	systems.json
cannonball	Cannonball	CANNONBALL;cannonball	game;88	PICO	picoarch:cannonball	cannonball	yes	yes	yes	yes	yes	no	untested	FE auto companion
cavestory	Cave Story	CAVESTORY;cavestory	exe	RA	retroarch:nxengine	nxengine	yes	yes	yes	yes	yes	yes	untested	systems.json
cavestory	Cave Story	CAVESTORY;cavestory	exe	PICO	picoarch:nxengine	nxengine	yes	yes	yes	yes	yes	no	untested	FE auto companion
chailove	ChaiLove	CHAILOVE;chailove	chai;chailove	RA	retroarch:chailove	chailove	yes	yes	yes	yes	yes	yes	untested	systems.json
chailove	ChaiLove	CHAILOVE;chailove	chai;chailove	PICO	picoarch:chailove	chailove	yes	yes	yes	yes	yes	no	untested	FE auto companion
channelf	Fairchild Channel F	FAIRCHILD;channelf	bin;chf;rom;zip	RA	retroarch:freechaf	freechaf	yes	yes	yes	yes	yes	yes	untested	systems.json
channelf	Fairchild Channel F	FAIRCHILD;channelf	bin;chf;rom;zip	PICO	picoarch:freechaf	freechaf	yes	yes	yes	yes	yes	no	untested	FE auto companion
colecovision	ColecoVision	COLECO;coleco	rom;ri;mx1;mx2;col;dsk;cas;sg;sc;m3u;zip;7z	RA	retroarch:bluemsx	bluemsx	yes	yes	yes	yes	yes	yes	pass	systems.json
colecovision	ColecoVision	COLECO;coleco	rom;ri;mx1;mx2;col;dsk;cas;sg;sc;m3u;zip;7z	PICO	picoarch:bluemsx	bluemsx	yes	yes	yes	yes	yes	no	pass	FE auto companion
cpc	Amstrad CPC	CPC;amstradcpc	dsk;sna;zip;tap;cdt;voc;cpr;m3u;kcr	RA	retroarch:cap32	cap32	yes	yes	yes	yes	yes	no	untested	systems.json
cpc	Amstrad CPC	CPC;amstradcpc	dsk;sna;zip;tap;cdt;voc;cpr;m3u;kcr	RA	retroarch:crocods	crocods	yes	yes	yes	yes	yes	yes	untested	systems.json
cpc	Amstrad CPC	CPC;amstradcpc	dsk;sna;zip;tap;cdt;voc;cpr;m3u;kcr	PICO	picoarch:cap32	cap32	yes	yes	yes	yes	yes	no	untested	FE auto companion
cpc	Amstrad CPC	CPC;amstradcpc	dsk;sna;zip;tap;cdt;voc;cpr;m3u;kcr	PICO	picoarch:crocods	crocods	yes	yes	yes	yes	yes	no	untested	FE auto companion
