# system	crc	thumbnail_label	source
# Verified rescue seeds used to generate kind-specific crc -> thumbnail href
# overlays during prefetch/build. Rows must not duplicate the base libretro
# CRC index, and each thumbnail_label must exist in the libretro thumbnail
# index for the generated kind.
#
# nesterj-famicom-dat/date-publisher rows are derived from NesterJ_AoEX_R3
# famicom.dat records whose release date and publisher resolve to one
# unambiguous libretro NES thumbnail label. Ambiguous rows are intentionally
# omitted to avoid downloading the wrong image.
nes	b59a7a29	Guardic Gaiden (1988-02-05)(Irem)(JP)	nesterj-famicom-dat/date-publisher
nes	93146bb0	Hayauchi Super Igo (1989-03-03)(Namco)(JP)	nesterj-famicom-dat/date-publisher
nes	15662081	Hector 87 (1987-07-16)(Hudson)(JP)	nesterj-famicom-dat/date-publisher
nes	48c8de53	Herakles no Eikou - Toujin Makyou Den (1987-06-12)(Data East)(JP)	nesterj-famicom-dat/date-publisher
nes	b301b0dc	Higemaru Makaijima - Nanatsu no Shima Daibouken (1987-04-14)(Capcom)(JP)	nesterj-famicom-dat/date-publisher
nes	644dfe2b	Hokuto no Ken (1986-08-10)(Touei Douga)(JP)	nesterj-famicom-dat/date-publisher
nes	4471d531	Hoshi wo Miru Hito (1987-10-27)(Hot B)(JP)	nesterj-famicom-dat/date-publisher
nes	8c3d54e8	Ikari (1986-11-26)(K Amusement Lease)(JP)	nesterj-famicom-dat/date-publisher
nes	d6cc1f78	Jajamaru no Daibouken (1986-08-22)(Jaleco)(JP)	nesterj-famicom-dat/date-publisher
nes	6bbe2be5	Jajamaru no Daibouken (1986-08-22)(Jaleco)(JP)	nesterj-famicom-dat/date-publisher
nes	63af202f	JJ - Tobidase Daisakusen Part 2 (1987-12-07)(Square)(JP)	nesterj-famicom-dat/date-publisher
nes	da122635	Jongbou (1987-07-18)(K Amusement Lease)(JP)	nesterj-famicom-dat/date-publisher
nes	86291f44	Kage no Densetsu (1986-04-18)(Taito)(JP)	nesterj-famicom-dat/date-publisher
nes	5c629297	Kakefu Kun no Jump Tengoku - Speed Jigoku (1988-07-22)(Vic Tokai)(JP)	nesterj-famicom-dat/date-publisher
nes	2795e4f6	Kanshakudama Nage Kantarou no Toukaidou Gojuusan Tsugi (1986-07-03)(Sunsoft)(JP)	nesterj-famicom-dat/date-publisher
nes	f02035b1	Karaoke Studio (1987-07-30)(Bandai)(JP)	nesterj-famicom-dat/date-publisher
nes	ac4f4e9f	Kinnikuman - Muscle Tag Match (1985-11-08)(Bandai)(JP)	nesterj-famicom-dat/date-publisher
nes	ed0aa77b	Klax (1990-12-14)(Hudson)(JP)	nesterj-famicom-dat/date-publisher
nes	db5169dc	Kyuukyoku Harikiri Koushien (1992-03-19)(Taito)(JP)	nesterj-famicom-dat/date-publisher
nes	0bbf80cb	Kyuukyoku Harikiri Stadium - Heisei Gannen Ban (1989-07-21)(Taito)(JP)	nesterj-famicom-dat/date-publisher
nes	2bb3dabe	Kyuukyoku Harikiri Stadium 3 (1991-03-01)(Taito)(JP)	nesterj-famicom-dat/date-publisher
nes	33ce3ff0	Lagrange Point (1991-04-26)(Konami)(JP)	nesterj-famicom-dat/date-publisher
nes	131a18cb	Layla (1986-12-20)(DB Soft)(JP)	nesterj-famicom-dat/date-publisher
nes	8f726dbc	Lipple Island (1988-01-23)(Sunsoft)(JP)	nesterj-famicom-dat/date-publisher
nes	2d782595	Lunar Ball (1985-12-05)(Pony Canyon)(JP)	nesterj-famicom-dat/date-publisher
nes	3348e3bd	Maison Ikkoku (1988-07-21)(Bothtec)(JP)	nesterj-famicom-dat/date-publisher
nes	6cd204b5	Majin Eiyuu Den Wataru Gaiden (1990-03-23)(Hudson)(JP)	nesterj-famicom-dat/date-publisher
nes	78b09986	Majou Densetsu 2 - Daimashikyou Galious (1987-08-11)(Konami)(JP)	nesterj-famicom-dat/date-publisher
nes	e91f17c2	Mappy Kids (1989-12-22)(Namco)(JP)	nesterj-famicom-dat/date-publisher
nes	ddad5880	Matsumoto Tooru no Kabushiki Hisshou Gaku (1988-02-18)(Imagineer)(JP)	nesterj-famicom-dat/date-publisher
nes	060f6e75	Meikyuu Kumikyoku - Milon no Daibouken (1986-11-13)(Hudson)(JP)	nesterj-famicom-dat/date-publisher
nes	322c9b09	Metal Gear (1987-12-22)(Konami)(JP)	nesterj-famicom-dat/date-publisher
nes	33716316	Mickey Mouse (1987-03-06)(Hudson)(JP)	nesterj-famicom-dat/date-publisher
nes	c237ccb0	Mickey Mouse (1987-03-06)(Hudson)(JP)	nesterj-famicom-dat/date-publisher
nes	2ebf2e0d	Mini Putt (1991-02-15)(A-Wave)(JP)	nesterj-famicom-dat/date-publisher
nes	e84274c5	Mississippi Satsujin Jiken (1986-10-31)(Jaleco)(JP)	nesterj-famicom-dat/date-publisher
nes	bb7c5f7a	Mito Koumon (1987-08-11)(Sunsoft)(JP)	nesterj-famicom-dat/date-publisher
nes	e18ab050	Mobile Suit Z Gundam - Hot Scramble (1986-08-28)(Bandai)(JP)	nesterj-famicom-dat/date-publisher
nes	2305b528	Momotarou Densetsu (1987-10-26)(Hudson)(JP)	nesterj-famicom-dat/date-publisher
nes	5816ccc5	Nagagutsu wo Haita Neko - Sekai Isshuu 80 Nichi Daibouken (1986-11-21)(Touei Douga)(JP)	nesterj-famicom-dat/date-publisher
nes	fc201c46	Nangoku Shirei!! - Spy Vs Spy (1987-03-27)(Kemco)(JP)	nesterj-famicom-dat/date-publisher
nes	19cc71d2	Napoleon Senki (1988-03-18)(Irem)(JP)	nesterj-famicom-dat/date-publisher
nes	3a1694f9	Nekketsu Kakutou Densetsu (1992-12-23)(Technos Japan)(JP)	nesterj-famicom-dat/date-publisher
nes	0d6cf078	Nekketsu Kouha - Kunio Kun (1987-04-17)(Technos Japan)(JP)	nesterj-famicom-dat/date-publisher
nes	29449ba9	Nobunaga no Yabou - Zenkoku Ban (1988-03-18)(Koei)(JP)	nesterj-famicom-dat/date-publisher
